Country,Type,Year,AQI
"Nanjing, China",City,2018,43.0
"Bengaluru, India",City,2018,34.5
"Taraz, Kazakhstan",City,2018,29.0
"Nis, Serbia",City,2018,31.133333333333336
"Salaqi, China",City,2018,28.9
"Yancheng, China",City,2018,43.2
"Tongchuanshi, China",City,2018,29.46666666666667
"Kintampo, Ghana",City,2018,28.9
"Chom Thong, Thailand",City,2018,30.55
"Phayao, Thailand",City,2018,31.349999999999998
"Yixing, China",City,2018,42.7
"Benxi, China",City,2018,31.6
"Tirupati, India",City,2018,31.3
"High Technologies Industrial Estate (Kavardeh), Iran",City,2018,28.8
"Kayseri, Turkey",City,2018,27.733333333333334
"Yanan, China",City,2018,35.0
"Guilin, China",City,2018,36.4
"Suzhou, China",City,2018,40.3
"Semarang, Indonesia",City,2018,28.55
"Phan, Thailand",City,2018,35.05
"Mae Hong Son, Thailand",City,2018,29.1
"Mudanjiang, China",City,2018,28.6
"Kunshan, China",City,2018,36.1
"Metepec, Mexico",City,2018,28.4
"Nam Phong, Thailand",City,2018,25.95
"Bang Khonthi, Thailand",City,2018,28.433333333333334
"Savar, Bangladesh",City,2018,28.3
"Shiyan, China",City,2018,40.2
"Jiangyan, China",City,2018,28.3
"Ya'an, China",City,2018,40.7
"Yazd, Iran",City,2018,20.166666666666668
"Nakhon Phanom, Thailand",City,2018,28.3
"Alxa League, China",City,2018,35.4
"Changshu, China",City,2018,42.6
"Ziyang, China",City,2018,38.3
"Kumul, China",City,2018,28.5
"Kamenice, Czech Republic",City,2018,28.2
"Smederevo, Serbia",City,2018,27.0
"Amasya, Turkey",City,2018,34.0
"Odzak, Bosnia Herzegovina",City,2018,28.1
"Nanning, China",City,2018,32.4
"Hanzhong, China",City,2018,45.1
"Belgaum, India",City,2018,28.1
"Cheonan, South Korea",City,2018,25.4
"Qinnan Qu, China",City,2018,27.2
"Haidongdiqu, China",City,2018,41.4
"Yantai, China",City,2018,29.3
"Lamphun, Thailand",City,2018,27.25
"Dandong, China",City,2018,29.1
"Sam Phran, Thailand",City,2018,24.2
"Ermelo, South Africa",City,2018,24.299999999999997
"Dalian, China",City,2018,29.3
"Shanghai, China",City,2018,36.0
"Shaoxing, China",City,2018,40.5
"Zhicheng, China",City,2018,27.7
"Skopje, North Macedonia",City,2018,30.233333333333334
"Doi Saket, Thailand",City,2018,20.433333333333334
"Jieyang, China",City,2018,34.1
"Siping, China",City,2018,38.8
"Kampala, Uganda",City,2018,40.8
"Ardakan, Iran",City,2018,27.5
"Chiang Saen, Thailand",City,2018,31.866666666666664
"Huaihua, China",City,2018,33.1
"Hangzhou, China",City,2018,38.1
"Shah Alam, Malaysia",City,2018,22.96666666666667
"Raciborz, Poland",City,2018,25.599999999999998
"Asan, South Korea",City,2018,26.0
"Three Rivers, USA",City,2018,20.8
"Babu, China",City,2018,27.3
"Chenzhou, China",City,2018,28.9
"Bazhong, China",City,2018,30.8
"Saveh, Iran",City,2018,22.8
"Gaggiano, Italy",City,2018,30.0
"Abuja, Nigeria",City,2018,27.3
"Johannesburg, South Africa",City,2018,24.96666666666667
"Mae Sai, Thailand",City,2018,27.3
"Jiamusi, China",City,2018,28.4
"Fuyang, China",City,2018,43.21666666666667
"Igo, USA",City,2018,16.8
"Trinity Center, USA",City,2018,16.3
"Bayan Nur, China",City,2018,33.5
"Ordos, China",City,2018,25.7
"Mudu, China",City,2018,27.1
"Qinnan, China",City,2018,27.1
"Shiraz, Iran",City,2018,26.333333333333332
"Chiang Rai, Thailand",City,2018,33.46666666666667
"Dazhong, China",City,2018,27.0
"Honghe, China",City,2018,25.0
"Xiaoshan, China",City,2018,27.0
"Gjorce Petro, North Macedonia",City,2018,27.0
"Sasolburg, South Africa",City,2018,28.0
"Jaffa, Israel",City,2018,26.9
"Krathum Baen, Thailand",City,2018,27.599999999999998
"Qingyang, China",City,2018,33.1
"Xianning, China",City,2018,36.7
"Songling, China",City,2018,26.7
"Rajec-Jestrebi, Czech Republic",City,2018,26.7
"Corum, Turkey",City,2018,24.8
"Wuzhen, China",City,2018,26.6
"Tetovo, North Macedonia",City,2018,25.55
"Vereeniging, South Africa",City,2018,27.7
"Thabazimbi, South Africa",City,2018,20.23333333333333
"Jiaxing, China",City,2018,38.1
"Mamponteng, Ghana",City,2018,26.5
"Banja Luka, Bosnia Herzegovina",City,2018,25.7
"Savona, Canada",City,2018,13.699999999999998
"Hezhou, China",City,2018,36.9
"Shangrao, China",City,2018,33.9
"Linan, China",City,2018,35.9
"Szeged, Hungary",City,2018,17.3
"Yangon, Myanmar",City,2018,28.933333333333334
