Location,2021,2020,2019,2018,Type
"Yichun, China",30.4,30.8,35.7,38.7,City
"Ojdula, Romania",30.3,,,,City
"Xuancheng, China",30.2,32.7,41.7,43.2,City
"Robat Karim, Iran",30.2,,,,City
"Chester, USA",30.2,13.9,15.1,,City
"Traiguen, Chile",30.1,,,,City
"Xuanzhou, China",30.1,,,,City
"Beibei, China",30.1,26.8,28.7,,City
"Changzhou Qu, China",30.1,30.5,33.4,40.9,City
"Otegen Batyra, Kazakhstan",30.1,,,,City
"Suining, China",30.0,28.4,31.0,35.3,City
"Chaloem Phra Kiat, Thailand",30.0,33.1,34.4,,City
"Ha Tinh, Vietnam",30.0,33.4,,,City
"Guigang, China",29.9,28.5,33.9,38.7,City
"Yinchuan, China",29.9,34.5,31.0,39.3,City
"San Kamphaeng, Thailand",29.9,37.8,21.8,,City
"Wuxi, China",29.8,34.0,39.9,42.8,City
"Hang Dong, Thailand",29.8,36.8,38.0,,City
"Jajce, Bosnia Herzegovina",29.7,,,,City
"Sarajevo, Bosnia Herzegovina",29.7,42.5,34.1,38.4,City
"Qingdao, China",29.7,31.8,39.4,34.3,City
"Hubli, India",29.7,25.2,,,City
"Kuwait City, Kuwait",29.7,34.0,38.3,56.0,City
"Benin City, Nigeria",29.7,,,,City
"Sebokeng, South Africa",29.7,29.5,32.7,,City
"Wanxian, China",29.5,27.8,27.9,,City
"Amaravati, India",29.5,28.9,33.0,35.6,City
"Baise, China",29.4,27.4,29.3,35.7,City
"Chengde, China",29.4,28.6,30.0,39.6,City
"Jiaonan, China",29.4,34.1,39.5,33.6,City
"Vushtrri, Kosovo",29.4,34.3,,,City
"As Salimiyah, Kuwait",29.4,,,,City
"Quneitra, Syria",29.4,,,,City
"Bosanska Krupa, Bosnia Herzegovina",29.3,,,,City
"Jiayuguan, China",29.3,29.5,26.5,28.1,City
"Yulin, China",29.3,27.6,32.6,35.6,City
"Xiaolingwei, China",29.3,,,,City
"Elbistan, Turkey",29.3,,,,City
"Jilin, China",29.2,35.9,34.4,32.4,City
"Yadgir, India",29.2,,,,City
"Lincang, China",29.1,25.8,31.4,27.4,City
"New Cairo, Egypt",29.1,,18.0,,City
"Fuling, China",29.0,28.0,28.3,,City
"Nanjing, China",29.0,31.1,40.5,43.0,City
"Bengaluru, India",29.0,27.5,32.6,34.5,City
"Taraz, Kazakhstan",29.0,,,,City
"Nis, Serbia",29.0,32.0,32.4,,City
"Salaqi, China",28.9,,,,City
"Yancheng, China",28.9,32.5,40.5,43.2,City
"Tongchuanshi, China",28.9,30.9,28.6,,City
"Kintampo, Ghana",28.9,,,,City
"Chom Thong, Thailand",28.9,32.2,,,City
"Phayao, Thailand",28.9,33.8,,,City
"Yixing, China",28.8,31.3,38.4,42.7,City
"Benxi, China",28.8,33.8,35.1,31.6,City
"Tirupati, India",28.8,24.4,26.4,31.3,City
"High Technologies Industrial Estate (Kavardeh), Iran",28.8,,,,City
"Kayseri, Turkey",28.8,24.6,29.8,,City
"Yanan, China",28.7,29.5,31.3,35.0,City
"Guilin, China",28.6,28.3,32.9,36.4,City
"Suzhou, China",28.6,32.3,37.7,40.3,City
"Semarang, Indonesia",28.6,28.5,,,City
"Phan, Thailand",28.5,41.6,,,City
"Mae Hong Son, Thailand",28.5,29.7,,,City
"Mudanjiang, China",28.4,29.6,31.7,28.6,City
"Kunshan, China",28.4,31.4,34.5,36.1,City
"Metepec, Mexico",28.4,,,,City
"Nam Phong, Thailand",28.4,23.5,,,City
"Bang Khonthi, Thailand",28.4,28.5,28.4,,City
"Savar, Bangladesh",28.3,,,,City
"Shiyan, China",28.3,30.5,36.5,40.2,City
"Jiangyan, China",28.3,,,,City
"Ya'an, China",28.3,26.6,32.3,40.7,City
"Yazd, Iran",28.3,18.5,13.7,,City
"Nakhon Phanom, Thailand",28.3,,,,City
"Alxa League, China",28.2,24.9,25.9,35.4,City
"Changshu, China",28.2,32.4,37.6,42.6,City
"Ziyang, China",28.2,29.5,33.5,38.3,City
"Kumul, China",28.2,29.3,29.8,28.5,City
"Kamenice, Czech Republic",28.2,,,,City
"Smederevo, Serbia",28.2,28.3,24.5,,City
"Amasya, Turkey",28.2,31.7,35.9,34.0,City
"Odzak, Bosnia Herzegovina",28.1,,,,City
"Nanning, China",28.1,26.0,30.2,32.4,City
"Hanzhong, China",28.1,28.7,39.2,45.1,City
